Package,LibPath,Version,Priority,Built
acepack,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.1,NA,3.4.0
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.2
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
beeswarm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.3,NA,3.4.0
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.65.0-1,NA,3.4.1
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
bit,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-12,NA,3.4.0
bit64,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-7,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
blob,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.2
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.2,NA,3.4.0
callr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.2
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
checkmate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.5,NA,3.4.2
chron,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3-51,NA,3.4.2
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.2
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.2
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.2
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
crosstalk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0,NA,3.4.2
data.table,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.10.4-3,NA,3.4.2
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
debugme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
desc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.1
devtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.13.4,NA,3.4.2
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.14,NA,3.4.3
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.4,NA,3.4.2
DT,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
dygraphs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1.4,NA,3.4.0
enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
forcats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.2
Formula,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-2,NA,3.4.1
fs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
gdtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.1
GGally,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.2,NA,3.4.1
ggplot2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.1.9000,NA,3.4.2
gh,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.1
git2r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.21.0,NA,3.4.3
glue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
gmailr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.1,NA,3.4.0
googledrive,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
googlesheets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
grails3r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.23,NA,3.4.2
graphics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grDevices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
gridExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3,NA,3.4.1
gsubfn,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-6,NA,3.4.0
gtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
haven,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.1
here,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
hexbin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.27.2,NA,3.4.3
highr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.0-3,NA,3.4.0
hms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
htmlTable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.9,NA,3.4.0
htmltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9,NA,3.4.1
httpuv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.5,NA,3.4.1
httr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.1
ini,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.2
janitor,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.0
jsonlite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.23-15,recommended,3.4.2
knitr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17,NA,3.4.1
labeling,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
lattice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.20-35,recommended,3.4.2
latticeExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-28,NA,3.4.0
lazyeval,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.2
lubridate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.2
magrittr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
mailR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.1,NA,3.4.0
markdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.0
MASS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-47,recommended,3.4.2
Matrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-11,recommended,3.4.2
memoise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
methods,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
mgcv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-20,recommended,3.4.2
mime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.0
mnormt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-5,NA,3.4.0
modelr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
munsell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.0
nlme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-131,recommended,3.4.2
nnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-12,recommended,3.4.2
officer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.2
openssl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.7,NA,3.4.1
openxlsx,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.0.17,NA,3.4.0
pander,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.1,NA,3.4.1
parallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
pillar,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.3
pkgconfig,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.0
plogr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-1,NA,3.4.0
plotly,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.7.1,NA,3.4.1
plyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.4,NA,3.4.0
png,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-7,NA,3.4.0
praise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.2,NA,3.4.0
progress,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.0
proto,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
psych,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.8,NA,3.4.2
purrr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.4,NA,3.4.2
R.methodsS3,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.0
R.oo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.21.0,NA,3.4.0
R.utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6.0,NA,3.4.2
R6,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.2,NA,3.4.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-2,NA,3.4.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.14,NA,3.4.3
readr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
readxl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
rebus,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
rebus.base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-3,NA,3.4.0
rebus.datetimes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
rebus.numbers,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
rebus.unicode,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-2,NA,3.4.0
rematch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
rematch2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.1
reprex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.2
reshape,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.7,NA,3.4.1
reshape2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.3
rJava,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-9,NA,3.4.2
rlang,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6.9003,NA,3.4.2
rmarkdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7,NA,3.4.2
rpart,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-11,recommended,3.4.2
rpivotTable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
rprojroot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.0
RSQLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0,NA,3.4.1
rstudioapi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.1
rvest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.2,NA,3.4.0
rvg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.7,NA,3.4.3
scales,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0.9000,NA,3.4.2
selectr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-1,NA,3.4.0
sendmailR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-1,NA,3.4.0
shiny,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.5,NA,3.4.1
shinydashboard,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.1,NA,3.4.0
shinyjs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.3
sourcetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.0
spatial,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-11,recommended,3.4.2
splines,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
sqldf,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-11,NA,3.4.1
stats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stats4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stringi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.5,NA,3.4.0
stringr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
styler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.3
survival,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.41-3,recommended,3.4.2
tcltk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
testthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.0,NA,3.4.3
tibble,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.2,NA,3.4.3
tidyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.2,NA,3.4.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.2
tidyverse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.1,NA,3.4.2
tools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
usethis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
utf8,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.3,NA,3.4.3
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
uuid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-2,NA,3.4.0
viridis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
whisker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-2,NA,3.4.0
withr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.1.9000,NA,3.4.2
WriteXLS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.0.0,NA,3.4.0
xlsx,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.7,NA,3.4.0
xlsxjars,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.1,NA,3.4.0
xml2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
xtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-2,NA,3.4.0
xts,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10-1,NA,3.4.3
yaml,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.14,NA,3.4.0
zip,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
zoo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-1,NA,3.4.3
